RANK_ID;PLAYER;TEAM;AGE;GP;W;L;MIN;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS
1;Tyrese Maxey;PHI;24;7;1;6;39.7;107.6;118.8;-11.2;19.3;1.93;12.2;0.0;8.8;3.8;6.3;47.3;52.2;30.0;97.92;10.9;568
2;Kevin Durant;PHX;36;9;8;1;38.8;113.7;111.0;2.7;15.5;1.03;12.7;0.6;15.1;8.6;12.2;62.7;67.0;27.3;99.50;14.8;722
3;Nikola Joki?;DEN;29;10;7;3;38.1;125.8;114.5;11.3;46.4;2.85;30.6;12.1;23.1;17.8;10.7;62.0;66.7;28.3;100.98;21.4;805
4;Mikal Bridges;NYK;28;11;5;6;38.0;118.6;119.1;-0.6;12.7;2.17;18.5;2.9;7.7;5.3;8.5;55.0;55.5;17.7;98.02;7.6;851
5;Luka Don?i?;DAL;25;12;5;7;37.9;115.1;110.2;4.9;32.8;2.46;21.0;1.3;19.0;10.1;8.5;49.6;54.5;33.4;100.78;15.9;956
6;Keegan Murray;SAC;24;12;7;5;37.0;116.4;108.0;8.4;5.9;2.00;11.0;6.8;14.1;10.7;5.5;52.1;54.9;15.5;100.51;7.8;927
7;De'Aaron Fox;SAC;26;12;7;5;36.8;113.3;109.0;4.3;21.7;1.51;17.4;2.8;10.9;7.1;11.5;53.3;58.4;28.2;101.42;12.6;934
8;Michael Porter Jr.;DEN;26;10;7;3;36.8;121.3;115.1;6.2;10.9;2.64;15.3;3.5;15.3;9.4;5.8;58.5;60.1;17.7;100.86;10.0;774
9;Cade Cunningham;DET;23;13;5;8;36.8;110.8;112.4;-1.7;37.9;1.71;24.3;2.4;16.7;9.8;14.2;51.0;54.5;30.9;99.09;13.7;985
10;Jalen Johnson;ATL;22;12;5;7;36.7;113.5;115.4;-1.8;20.7;1.60;20.2;5.1;21.7;13.3;12.6;50.3;53.6;22.5;105.33;11.7;968
11;Anthony Edwards;MIN;23;12;6;6;36.6;113.5;111.0;2.5;17.9;1.13;12.4;1.2;12.7;7.1;11.0;57.7;60.0;31.0;99.32;13.3;909
12;Trae Young;ATL;26;11;4;7;36.6;114.7;116.6;-2.0;45.4;2.54;30.5;2.5;8.6;5.5;12.0;47.3;54.9;28.6;104.69;13.2;878
13;Devin Booker;PHX;28;12;9;3;36.5;111.0;111.7;-0.7;29.8;3.73;23.6;3.4;6.3;4.9;6.3;50.9;57.2;26.0;100.74;12.5;919
14;DeMar DeRozan;SAC;35;12;7;5;36.5;118.7;113.8;4.8;16.2;2.13;16.7;1.7;9.4;5.7;7.8;55.2;61.0;24.3;99.21;13.0;906
15;Josh Hart;NYK;29;11;5;6;36.5;121.8;116.7;5.0;19.7;2.70;32.1;5.8;20.8;13.3;11.9;63.5;67.0;14.2;97.11;11.7;809
16;Paolo Banchero;ORL;22;5;3;2;36.4;115.5;107.8;7.8;27.7;2.55;17.2;6.5;16.8;11.7;6.7;55.2;59.0;31.1;101.83;15.9;386
17;OG Anunoby;NYK;27;11;5;6;36.4;116.6;111.9;4.7;9.7;2.15;14.8;2.3;12.0;7.1;6.9;57.4;60.4;17.3;98.00;9.4;819
18;Domantas Sabonis;SAC;28;12;7;5;36.2;118.1;108.7;9.4;26.8;2.05;28.4;8.6;26.0;17.7;13.8;68.1;72.1;20.4;99.89;17.2;905
19;Jaylen Brown;BOS;28;9;7;2;36.2;125.6;111.4;14.2;15.3;1.65;12.2;4.3;15.9;10.1;7.4;47.3;53.1;30.7;101.05;11.2;684
20;Jayson Tatum;BOS;26;13;10;3;36.1;124.1;109.0;15.1;25.3;1.92;17.6;1.3;19.1;10.3;9.2;57.1;62.8;30.9;99.57;17.2;970
21;Damian Lillard;MIL;34;10;2;8;35.8;113.0;118.4;-5.4;29.9;2.44;21.9;2.2;10.2;6.3;8.9;53.4;61.4;28.9;99.58;14.4;741
22;Kyrie Irving;DAL;32;11;5;6;35.6;114.7;112.4;2.3;21.3;2.57;19.1;3.3;9.4;6.4;7.4;63.1;66.1;24.9;100.74;15.2;823
23;Fred VanVleet;HOU;30;11;7;4;35.5;110.6;109.3;1.3;24.1;5.25;27.6;1.9;8.7;5.1;5.3;44.8;47.6;17.5;96.33;9.6;782
24;Giannis Antetokounmpo;MIL;29;11;4;7;35.4;111.1;112.5;-1.4;32.8;1.97;16.2;6.4;26.6;16.6;8.2;62.0;63.3;35.6;100.15;21.5;810
25;Christian Braun;DEN;23;10;7;3;35.3;124.3;112.2;12.1;5.9;1.33;10.6;3.5;11.1;7.5;7.9;63.3;67.2;15.5;101.52;8.8;748
26;Jamal Murray;DEN;27;7;4;3;35.3;129.4;117.0;12.4;17.2;2.83;20.4;1.3;9.7;5.6;7.2;46.3;52.3;22.6;97.43;8.4;503
27;Tyrese Haliburton;IND;24;11;5;6;35.2;110.7;114.7;-4.0;35.9;4.27;32.8;1.8;9.2;5.5;7.7;46.5;50.7;21.3;99.90;11.2;815
28;Bilal Coulibaly;WAS;20;10;2;8;35.1;107.9;120.7;-12.8;11.4;1.23;16.4;4.9;10.2;7.6;13.3;62.4;65.7;16.5;102.32;9.3;743
29;LeBron James;LAL;39;11;7;4;35.0;114.6;117.2;-2.6;41.9;3.03;29.9;1.3;21.0;11.3;9.9;60.0;63.5;25.6;102.90;17.9;830
30;Bam Adebayo;MIA;27;10;4;6;34.8;110.4;112.6;-2.2;17.4;3.00;18.1;8.4;17.6;12.7;6.0;42.5;47.1;21.6;98.11;11.0;712
31;James Harden;LAC;35;12;6;6;34.8;111.6;113.6;-1.9;40.0;1.83;26.6;2.4;21.4;11.8;14.6;43.9;52.7;29.8;97.97;14.6;851
32;Anthony Davis;LAL;31;10;7;3;34.8;115.4;116.6;-1.2;14.4;1.22;9.9;6.2;23.4;15.2;8.1;58.2;65.0;31.0;100.90;19.5;733
33;Bradley Beal;PHX;31;9;7;2;34.8;113.2;114.5;-1.3;16.1;2.75;18.4;2.0;9.6;5.9;6.7;57.0;60.0;20.1;99.81;10.1;653
34;Zach LaVine;CHI;29;9;5;4;34.7;113.7;110.6;3.2;16.2;1.03;15.2;0.9;12.7;7.1;14.7;64.4;66.5;24.8;106.24;11.8;691
35;Dennis Schröder;BKN;31;12;5;7;34.5;115.7;112.7;3.0;26.5;2.45;25.3;0.5;8.5;4.5;10.3;60.0;63.4;21.9;98.19;11.9;845
36;Jalen Brunson;NYK;28;11;5;6;34.5;117.9;113.4;4.5;29.8;3.00;22.0;1.4;7.5;4.4;7.3;52.0;57.0;29.2;97.53;12.3;775
37;Austin Reaves;LAL;26;11;7;4;34.4;114.8;115.8;-1.0;22.7;2.23;23.2;2.4;9.7;6.1;10.4;57.3;60.7;21.3;101.60;10.3;806
38;Ivica Zubac;LAC;27;12;6;6;34.3;110.8;112.4;-1.5;11.1;1.21;13.5;12.4;24.7;18.5;11.2;58.0;59.3;19.3;97.93;13.3;840
39;Norman Powell;LAC;31;12;6;6;34.3;114.6;112.4;2.2;12.8;1.15;10.9;1.0;9.0;5.1;9.5;62.3;65.6;26.4;98.77;13.0;845
40;Tobias Harris;DET;32;13;5;8;34.3;110.6;109.9;0.7;11.4;1.84;15.8;2.7;18.9;11.0;8.6;50.0;52.5;17.9;98.47;9.9;911
41;CJ McCollum;NOP;33;4;2;2;34.2;109.9;113.5;-3.6;17.2;2.00;17.4;0.7;8.6;4.8;8.7;54.6;55.4;23.5;99.07;10.8;283
42;Caleb Martin;PHI;29;11;2;9;34.1;103.4;112.9;-9.5;13.1;1.35;17.8;4.9;12.5;8.4;13.2;48.5;53.5;16.4;98.38;7.7;769
43;Pascal Siakam;IND;30;11;5;6;34.0;113.1;108.7;4.5;19.7;3.13;20.2;5.6;13.5;9.8;6.4;63.6;65.4;21.9;99.52;14.4;777
44;Karl-Anthony Towns;NYK;29;11;5;6;33.9;121.2;116.8;4.4;12.4;1.36;11.0;9.2;29.0;18.9;8.1;61.2;65.2;28.0;98.49;16.8;764
45;Rui Hachimura;LAL;26;10;7;3;33.9;118.5;113.3;5.2;6.0;2.14;10.8;6.7;10.9;8.9;5.0;50.5;54.2;15.6;98.87;7.3;701
46;Cam Thomas;BKN;23;12;5;7;33.9;114.0;118.2;-4.2;15.9;1.12;11.7;1.0;9.2;5.1;10.4;50.9;57.6;30.4;96.52;10.8;816
47;Jalen Green;HOU;22;12;8;4;33.8;113.1;110.8;2.3;13.8;1.16;12.0;1.3;11.8;6.3;10.4;47.2;51.9;26.7;98.77;9.6;834
48;Coby White;CHI;24;12;5;7;33.8;111.3;116.2;-4.9;21.6;1.71;20.5;0.5;9.7;5.1;12.0;55.0;59.4;23.2;105.66;9.4;894
49;Derrick White;BOS;30;13;10;3;33.8;123.5;109.4;14.1;18.6;2.80;21.0;3.2;9.9;6.6;7.5;61.6;64.5;20.5;100.07;11.4;916
50;Scottie Barnes;TOR;23;4;1;3;33.6;99.3;114.8;-15.5;32.0;1.50;21.2;6.6;15.4;10.8;14.2;47.6;52.7;25.8;102.95;13.6;286
51;LaMelo Ball;CHA;23;11;4;7;33.6;110.6;114.4;-3.8;36.1;1.38;17.3;2.8;11.8;7.2;12.5;55.3;58.7;36.7;100.48;14.6;774
52;Tyler Herro;MIA;24;10;4;6;33.5;113.0;117.6;-4.6;27.6;2.04;20.1;0.6;15.0;7.6;9.8;64.3;66.8;26.6;98.75;15.0;691
53;Julius Randle;MIN;29;12;6;6;33.4;115.2;113.1;2.1;19.8;1.47;17.9;6.5;14.2;10.4;12.2;57.2;62.0;24.4;98.73;12.4;824
54;Jerami Grant;POR;30;13;5;8;33.4;103.8;114.7;-10.9;10.7;1.45;10.9;0.8;9.6;5.0;7.5;46.4;51.6;22.4;100.71;8.2;911
55;Shai Gilgeous-Alexander;OKC;26;12;10;2;33.1;119.6;103.3;16.3;29.1;2.30;19.9;2.1;13.3;7.8;8.7;54.3;61.0;31.6;103.28;18.4;852
56;Terry Rozier;MIA;30;10;4;6;33.1;113.2;114.6;-1.4;18.0;2.05;21.5;1.1;12.2;6.5;10.5;47.5;51.9;19.3;98.61;8.2;682
57;Cameron Johnson;BKN;28;12;5;7;33.1;112.9;117.6;-4.7;12.7;5.33;16.4;1.9;11.1;6.5;3.1;59.2;62.4;18.1;97.66;10.2;807
58;Dyson Daniels;ATL;21;10;5;5;33.1;110.3;114.3;-4.1;12.3;1.71;15.8;2.7;10.2;6.2;9.2;51.2;51.7;18.3;104.49;8.6;721
59;Brandon Ingram;NOP;27;12;3;9;33.0;105.6;119.6;-14.0;28.5;1.39;17.6;3.4;14.5;8.9;12.7;53.3;55.7;30.6;97.01;12.6;804
60;RJ Barrett;TOR;24;9;1;8;33.0;104.8;118.0;-13.2;27.9;1.59;18.7;2.1;15.0;8.2;11.7;46.8;50.2;29.3;103.69;10.6;644
61;Jaden Ivey;DET;22;12;5;7;32.9;107.9;112.4;-4.5;19.1;1.15;15.9;4.5;9.7;7.1;13.8;51.4;54.8;25.7;98.12;9.4;808
62;Myles Turner;IND;28;10;4;6;32.6;110.5;116.1;-5.5;6.6;0.50;7.4;2.6;18.1;10.7;14.9;54.3;57.1;23.7;98.87;8.8;673
63;P.J. Washington;DAL;26;7;4;3;32.5;110.2;110.3;0.0;5.7;1.25;11.4;4.8;17.0;10.9;9.1;47.7;47.5;14.3;100.77;7.5;479
64;Nikola Vu?evi?;CHI;34;12;5;7;32.4;111.6;115.6;-4.0;15.3;1.81;15.7;7.7;22.2;15.0;8.7;65.5;67.6;21.5;105.06;14.6;851
